artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
enrique iglesias,be with you,False,1999,0.607,0.655,0.859,0.745,0.018,0.04,0.002,0.032,0.539,122,219,Veloce (Allegro),C#,Minor,C# Minor,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
toni braxton,he wasn't man enough,False,2000,0.742,0.721,0.945,0.919,0.032,0.009,0.0,0.366,0.779,88,261,Moderato,B,Minor,B Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
bow wow,bounce with me (feat. xscape) - edited album version,False,2000,0.404,0.855,0.736,0.759,0.262,0.445,0.0,0.293,0.958,72,175,Lento (Adagio),G#,Major,G# Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
dr. dre,forgot about dre,True,1999,0.888,0.94,0.726,0.95,0.098,0.085,0.0,0.17,0.624,134,222,Veloce (Allegro),G#,Major,G# Major,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
missy elliott,hot boyz,True,1998,0.551,0.707,0.413,0.458,0.484,0.347,0.0,0.191,0.523,81,215,Moderato,C#,Major,C# Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
backstreet boys,show me the meaning of being lonely,False,1999,0.764,0.592,0.604,0.762,0.004,0.237,0.0,0.066,0.69,168,234,Vivace,F#,Minor,F# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
samantha mumba,gotta tell you,False,2018,0.483,0.709,0.611,0.581,0.008,0.196,0.0,0.174,0.787,110,201,Allegretto,C,Minor,C Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mya,case of the ex (whatcha gonna do),False,2000,0.663,0.76,0.671,0.781,0.031,0.056,0.0,0.061,0.332,98,236,Moderato,C#,Minor,C# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mary mary,shackles (praise you),False,2000,0.719,0.768,0.825,0.877,0.251,0.035,0.0,0.081,0.815,100,198,Moderato,G,Major,G Major,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
next,wifey,False,2004,0.584,0.827,0.632,0.584,0.153,0.069,0.0,0.072,0.736,100,243,Moderato,G,Minor,G Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
janet jackson,doesn't really matter,False,2001,0.528,0.759,0.785,0.861,0.096,0.102,0.003,0.092,0.816,99,265,Moderato,F,Minor,F Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ricky martin,she bangs - english version,False,2000,0.674,0.592,0.948,0.815,0.104,0.001,0.0,0.423,0.877,144,280,Veloce (Allegro),C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
jagged edge,he can't love u,False,2000,0.618,0.7,0.827,0.817,0.331,0.115,0.0,0.257,0.503,126,244,Veloce (Allegro),G#,Minor,G# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
