artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
red hot chili peppers,dani california,False,2006,0.76,0.556,0.913,0.897,0.0437,0.0193,8.59e-06,0.346,0.73,96,4.42,C,Major,C Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
scissor sisters,i don't feel like dancin',False,2006,0.63,0.707,0.923,0.845,0.0276,0.0195,0.0,0.342,0.845,108,4.48,G,Major,G Major,Moderato,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
ne-yo,so sick,False,2006,0.75,0.452,0.574,0.602,0.31,0.246,0.0,0.189,0.58,93,3.27,F#,Major,F# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
hinder,lips of an angel,False,2019,0.35,0.474,0.744,0.748,0.0341,0.0208,1.22e-06,0.209,0.238,129,4.21,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
raconteurs,"steady, as she goes",False,2006,0.56,0.525,0.578,0.788,0.12,0.0132,0.00916,0.108,0.537,124,3.35,A,Major,A Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fratellis,chelsea dagger,False,2006,0.68,0.511,0.815,0.858,0.144,0.0491,0.0,0.0826,0.586,155,3.35,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
fort minor,where'd you go (feat. holly brook & jonah matranga),True,2005,0.42,0.684,0.819,0.85,0.238,0.262,0.00197,0.113,0.25,180,3.51,C#,Minor,C# Minor,Frenetico (Presto),0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
pussycat dolls,stickwitu,False,2005,0.67,0.548,0.554,0.697,0.0587,0.283,0.0,0.0708,0.382,80,3.27,A,Major,A Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
panic! at the disco,i write sins not tragedies,False,2005,0.7,0.566,0.815,0.792,0.14,0.0737,0.0,0.12,0.672,170,3.05,A,Minor,A Minor,Vivace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
james blunt,goodbye my lover,False,2005,0.67,0.432,0.261,0.391,0.0512,0.953,0.00342,0.0903,0.273,90,4.18,E,Major,E Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
christina aguilera,ain't no other man,False,2006,0.63,0.862,0.742,0.78,0.222,0.00376,0.00855,0.103,0.511,128,3.48,G,Major,G Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
